,name,rating,reviews,field,employees,ctype,old,location
3087,SiliconIndia,2.6,213,Printing & Publishing , 1k-5k Employees , 26 years old , Bangalore/Bengaluru +6 more,
3088,POSCO MAHARASHTRA STEEL,4.2,213,Iron & Steel , 1k-5k Employees , 11 years old , Pohang-si +10 more,
3089,SISL Infotech,3.4,213,IT Services & Consulting , 501-1k Employees , 16 years old , Delhi/NCR +33 more,
3090,B2x Service Solutions,3.7,213,BPO , 201-500 Employees , 16 years old , Munich +33 more,
3091,Nidec Corporation,4.0,213,Industrial Machinery , 501-1k Employees , Forbes Global 2000 , 50 years old , Kyoto +17 more
3092,Apollo Clinic,3.8,213,Healthcare , 201-500 Employees , Public , 21 years old , Hyderabad +32 more
3093,Signode,4.0,213,501-1k Employees , 110 years old , Glenview +27 more,,
3094,TowerVision India,4.2,213,Telecom , 501-1k Employees , 17 years old , Chennai +22 more,
3095,Enser Communications,4.2,213,IT Services & Consulting , 501-1k Employees , 15 years old , Navi Mumbai +10 more,
3096,NortonLifeLock's,4.1,213,IT Services & Consulting , 501-1k Employees , Forbes Global 2000 , 41 years old , Mountain View +5 more
3097,Vem Technologies,3.8,213,Defence & Aerospace , 1k-5k Employees , 30 years old , Hyderabad/Secunderabad +3 more,
3098,Copeland,4.0,213,Pune +24 more,,,,
3099,Vision India Services,3.4,213,Recruitment , 51-200 Employees , 15 years old , New Delhi +58 more,
3100,Vision India Services,3.4,213,Recruitment , 51-200 Employees , 15 years old , New Delhi +58 more,
3101,ServiceNow,4.1,212,Software Product , 1k-5k Employees , Public , 19 years old , Santa Clara +6 more
3102,HYT Engineering,3.2,212,Industrial Machinery , 201-500 Employees , 46 years old , Pune +18 more,
3103,Rosenberger Electronic,4.1,212,Electronics Manufacturing , 501-1k Employees , 65 years old , Tittmoning +29 more,
3104,Allianz,4.4,212,Insurance , 5k-10k Employees , Forbes Global 2000 , 133 years old , Munich +11 more
3105,QSpiders,3.7,212,Education & Training , 1k-5k Employees , 20 years old , Bangalore/Bengaluru +13 more,
3106,Atyati Technologies,4.4,212,IT Services & Consulting , 501-1k Employees , 17 years old , Bangalore +43 more,
3107,Nexval Infotech,3.1,212,IT Services & Consulting , 501-1k Employees , 14 years old , Kolkata +4 more,
3108,Iconic,4.1,212,Retail , 201-500 Employees , 10 years old , Gurugram +24 more,
3109,Don Bosco School,4.0,212,Education & Training , 201-500 Employees (Global) , 43 years old , New Delhi +51 more,
3110,Spm Autocomp,3.4,212,Auto Components , 51-200 Employees , 28 years old , Gurgaon/Gurugram +10 more,
3111,Incred Finance,4.0,212,FinTech , 501-1k Employees , Startup , 7 years old , Mumbai +26 more
3112,Mfar Constructions,4.0,212,Engineering & Construction , 501-1k Employees , 27 years old , Bangalore/Bengaluru +10 more,
